login;password;email
user1;password1;user1@mail.ru
user2;password2;user2@mail.ru
user3;password3;user3@mail.ru
user4;password4;user4@mail.ru
user5;password5;user5@mail.ru
user6;password6;user6@mail.ru
user7;password7;user7@mail.ru
user8;password8;user8@mail.ru
user9;password9;user9@mail.ru
user10;password10;user10@mail.ru
user11;password11;user11@mail.ru
user12;password12;user12@mail.ru
user13;password13;user13@mail.ru
user14;password14;user14@mail.ru
user15;password15;user15@mail.ru
user16;password16;user16@mail.ru
user17;password17;user17@mail.ru
user18;password18;user18@mail.ru
user19;password19;user19@mail.ru
user20;password20;user20@mail.ru
user21;password21;user21@mail.ru
user22;password22;user22@mail.ru
user23;password23;user23@mail.ru
user24;password24;user24@mail.ru
user25;password25;user25@mail.ru
user26;password26;user26@mail.ru
user27;password27;user27@mail.ru
user28;password28;user28@mail.ru
user29;password29;user29@mail.ru
user30;password30;user30@mail.ru
user31;password31;user31@mail.ru
user32;password32;user32@mail.ru
user33;password33;user33@mail.ru
user34;password34;user34@mail.ru
user35;password35;user35@mail.ru
user36;password36;user36@mail.ru
user37;password37;user37@mail.ru
user38;password38;user38@mail.ru
user39;password39;user39@mail.ru
user40;password40;user40@mail.ru
user41;password41;user41@mail.ru
user42;password42;user42@mail.ru
user43;password43;user43@mail.ru
user44;password44;user44@mail.ru
user45;password45;user45@mail.ru
user46;password46;user46@mail.ru
user47;password47;user47@mail.ru
user48;password48;user48@mail.ru
user49;password49;user49@mail.ru
user50;password50;user50@mail.ru
user51;password51;user51@mail.ru
user52;password52;user52@mail.ru
user53;password53;user53@mail.ru
user54;password54;user54@mail.ru
user55;password55;user55@mail.ru
user56;password56;user56@mail.ru
user57;password57;user57@mail.ru
user58;password58;user58@mail.ru
user59;password59;user59@mail.ru
user60;password60;user60@mail.ru
user61;password61;user61@mail.ru
user62;password62;user62@mail.ru
user63;password63;user63@mail.ru
user64;password64;user64@mail.ru
user65;password65;user65@mail.ru
user66;password66;user66@mail.ru
user67;password67;user67@mail.ru
user68;password68;user68@mail.ru
user69;password69;user69@mail.ru
user70;password70;user70@mail.ru
user71;password71;user71@mail.ru
user72;password72;user72@mail.ru
user73;password73;user73@mail.ru
user74;password74;user74@mail.ru
user75;password75;user75@mail.ru
user76;password76;user76@mail.ru
user77;password77;user77@mail.ru
user78;password78;user78@mail.ru
user79;password79;user79@mail.ru
user80;password80;user80@mail.ru
user81;password81;user81@mail.ru
user82;password82;user82@mail.ru
user83;password83;user83@mail.ru
user84;password84;user84@mail.ru
user85;password85;user85@mail.ru
user86;password86;user86@mail.ru
user87;password87;user87@mail.ru
user88;password88;user88@mail.ru
user89;password89;user89@mail.ru
user90;password90;user90@mail.ru
user91;password91;user91@mail.ru
user92;password92;user92@mail.ru
user93;password93;user93@mail.ru
user94;password94;user94@mail.ru
user95;password95;user95@mail.ru
user96;password96;user96@mail.ru
user97;password97;user97@mail.ru
user98;password98;user98@mail.ru
user99;password99;user99@mail.ru
user100;password100;user100@mail.ru
